cotacaoCompra;cotacaoVenda;dataHoraCotacao
5,2397;5,2403;11/05/2021
5,4626;5,4632;16/08/2024
4,9444;4,945;29/06/2021
5,0897;5,0903;26/08/2022
4,9001;4,9007;09/11/2023
4,7994;4,8;19/07/2023
5,2506;5,2512;18/04/2024
4,9516;4,9522;05/12/2023
4,9392;4,9398;06/03/2024
4,7759;4,7765;01/06/2022
5,6058;5,6064;21/08/2020
5,241;5,2416;31/05/2024
4,3189;4,3195;10/02/2020
5,4499;5,4505;04/05/2021
5,1686;5,1692;21/09/2022
5,5257;5,5263;23/08/2024
5,1031;5,1037;21/05/2024
5,4491;5,4497;17/08/2020
5,3326;5,3332;20/09/2021
5,6613;5,6619;29/12/2021
5,198;5,1986;20/01/2023
4,9213;4,9219;31/08/2023
4,9717;4,9723;14/02/2024
5,6613;5,6619;26/05/2025
5,2978;5,2984;14/09/2020
4,891;4,8916;02/01/2024
5,7636;5,7642;30/03/2021
5,4562;5,4568;14/07/2022
5,1764;5,177;13/07/2021
5,7021;5,7027;21/02/2025
5,3045;5,3051;11/11/2022
5,5583;5,5589;28/06/2024
5,6303;5,6309;03/01/2022
5,2463;5,2469;17/04/2024
4,2517;4,2523;30/01/2020
5,2801;5,2806;16/12/2022
5,6675;5,6681;01/08/2024
4,494;4,4946;02/03/2020
5,0661;5,0666;04/06/2021
5,1875;5,1881;15/02/2022
5,1406;5,1412;13/05/2024
5,7036;5,7042;26/03/2021
5,2628;5,2635;16/04/2024
5,5343;5,5349;14/01/2022
4,8512;4,8518;10/08/2023
5,462;5,4626;07/10/2024
5,1852;5,1858;14/04/2020
5,7277;5,7283;14/02/2025
5,0088;5,0094;09/03/2022
5,2849;5,2855;06/01/2023
5,4031;5,4037;24/11/2020
5,1178;5,1184;02/05/2024
4,7409;4,7415;31/07/2023
5,5941;5,5947;06/06/2025
5,239;5,2396;06/12/2022
5,8802;5,8808;16/04/2025
5,3502;5,3508;25/11/2022
5,0441;5,0447;05/04/2023
5,1698;5,1704;27/05/2024
5,2027;5,2033;31/07/2020
5,1703;5,1709;22/08/2022
5,4114;5,412;12/07/2022
5,1935;5,1941;10/10/2022
4,795;4,7956;03/06/2022
5,1768;5,1774;14/09/2022
5,9362;5,9368;08/04/2025
5,1308;5,1314;15/03/2022
5,0522;5,0528;20/10/2023
4,9464;4,9471;16/03/2020
6,1527;6,1541;24/12/2024
5,3069;5,3075;03/08/2020
5,2695;5,2701;14/05/2021
5,6904;5,691;23/12/2021
5,2673;5,2679;17/03/2023
5,3324;5,333;19/11/2020
4,969;4,9696;11/05/2023
4,9845;4,9851;23/02/2024
5,1784;5,179;31/08/2022
5,1394;5,14;12/01/2023
5,3634;5,364;07/07/2022
5,496;5,4966;11/01/2021
5,5263;5,5269;22/03/2021
4,9797;4,9803;13/03/2024
5,6417;5,6423;21/10/2021
5,6339;5,6345;02/12/2021
5,421;5,4216;09/02/2021
5,0491;5,0497;10/08/2022
4,9223;4,9229;21/09/2023
5,293;5,2936;10/09/2020
5,0715;5,0721;01/02/2023
5,1639;5,1645;06/07/2021
5,2184;5,219;13/09/2021
5,0987;5,0993;31/01/2023
4,0207;4,0213;02/01/2020
5,2194;5,22;27/08/2021
5,5845;5,5851;16/03/2021
5,7892;5,7898;04/11/2024
5,1727;5,1733;28/03/2023
5,4088;5,4094;12/11/2020
5,2707;5,2713;17/10/2022
4,8729;4,8735;10/07/2023
4,4877;4,4883;03/03/2020
5,2085;5,2091;04/08/2021
5,0283;5,0289;27/09/2023
5,6838;5,6844;02/03/2021
5,2237;5,2243;15/02/2023
4,9711;4,9717;26/09/2023
5,7597;5,7603;18/11/2024
5,1961;5,1967;31/12/2020
4,8971;4,8977;23/08/2023
4,947;4,9476;12/12/2023
4,8749;4,8755;21/12/2023
5,4714;5,472;08/07/2024
5,049;5,0496;11/10/2023
5,4753;5,4759;29/01/2021
4,9165;4,9171;13/09/2023
5,2384;5,239;28/12/2020
5,1738;5,1744;08/11/2022
5,7099;5,7105;17/02/2025
5,2328;5,2334;24/06/2022
4,8826;4,8832;12/06/2023
5,0016;5,0022;30/06/2021
5,7974;5,798;11/11/2024
4,9116;4,9122;16/05/2023
5,0673;5,0679;02/10/2023
5,2138;5,2144;19/01/2023
5,0231;5,0237;04/04/2024
5,3656;5,3662;29/04/2021
4,1616;4,1622;15/01/2020
4,7416;4,7422;07/04/2022
5,8924;5,893;28/01/2025
5,1699;5,1705;20/09/2022
5,3629;5,3635;20/07/2020
5,5826;5,5832;01/03/2021
5,066;5,0666;16/05/2022
5,306;5,3066;12/12/2022
5,721;5,7216;19/05/2020
5,2675;5,2681;06/06/2024
5,6953;5,6959;17/12/2021
5,1878;5,1884;29/07/2022
5,3878;5,3884;05/02/2021
4,9192;4,9198;19/05/2022
5,8167;5,8173;21/11/2024
5,7948;5,7954;11/05/2020
5,6455;5,6461;14/12/2021
4,8362;4,8368;26/12/2023
5,7252;5,7258;24/02/2025
5,2722;5,2728;15/09/2020
5,4584;5,459;10/11/2021
4,9211;4,9217;08/08/2023
5,2783;5,2789;01/12/2020
5,6166;5,6172;08/08/2024
4,7152;4,7158;14/04/2022
5,645;5,6456;23/11/2021
5,251;5,2516;21/07/2021
5,784;5,7846;05/11/2024
5,1828;5,1834;13/02/2023
5,2915;5,2921;24/03/2023
4,8912;4,8918;11/08/2023
5,6732;5,6738;24/04/2025
5,2254;5,226;14/09/2021
5,0344;5,035;01/06/2023
5,0677;5,0683;06/04/2023
5,2399;5,2404;01/04/2020
5,1417;5,1423;15/05/2024
5,2582;5,2588;18/05/2021
5,6565;5,6571;21/05/2025
4,9152;4,9158;08/12/2023
5,4221;5,4227;07/08/2020
5,6112;5,6118;29/11/2021
5,0619;5,0625;13/10/2023
5,5963;5,5969;05/06/2025
5,3462;5,3468;18/06/2020
5,0562;5,0568;18/10/2023
5,622;5,6226;16/10/2020
5,1241;5,1247;08/08/2022
5,3399;5,3405;28/05/2020
5,3022;5,3028;02/07/2020
5,5936;5,5942;04/11/2021
5,0612;5,0618;16/10/2023
4,9484;4,949;22/01/2024
4,9641;4,9647;18/05/2023
6,0523;6,0529;10/12/2024
5,7337;5,7343;08/03/2021
5,1458;5,1464;10/05/2024
4,6477;4,6483;12/04/2022
5,0329;5,0334;02/05/2023
5,5305;5,5311;23/09/2020
4,8537;4,8543;12/01/2024
5,0773;5,0779;09/04/2020
5,362;5,3626;11/02/2021
4,6978;4,6984;01/04/2022
5,4623;5,4629;26/06/2020
6,1618;6,1624;18/12/2024
5,1333;5,1339;18/02/2022
5,3624;5,363;14/06/2024
5,4701;5,4707;21/08/2024
5,0461;5,0467;19/04/2023
4,7428;4,7434;27/05/2022
5,6114;5,612;23/10/2020
5,0353;5,0359;17/06/2021
4,7873;4,7879;02/06/2022
4,7196;4,7202;27/07/2023
6,1985;6,1991;27/12/2024
5,2645;5,2651;02/04/2020
5,3602;5,3608;26/07/2022
5,859;5,8596;29/01/2025
4,8077;4,8083;02/08/2023
4,8717;4,8723;20/11/2023
6,0316;6,0322;16/01/2025
5,3019;5,3025;03/02/2022
5,0201;5,0207;16/06/2021
5,2975;5,2981;15/03/2023
5,3027;5,3033;20/01/2021
5,4964;5,497;05/07/2024
5,4232;5,4238;18/02/2021
5,0122;5,0128;11/04/2023
5,749;5,7496;22/04/2025
5,4315;5,4321;06/07/2022
5,5711;5,5717;13/09/2024
5,3502;5,3508;25/11/2020
5,0087;5,0093;04/05/2022
4,7967;4,7973;23/05/2022
5,406;5,4066;30/09/2022
4,9125;4,9131;22/09/2023
5,7049;5,7055;20/12/2021
5,1427;5,1433;31/08/2021
5,0188;5,0194;01/11/2023
5,2037;5,2043;22/04/2024
5,1437;5,1443;23/05/2024
4,959;4,9596;01/03/2024
5,2263;5,2269;19/04/2024
5,3885;5,3891;12/06/2024
5,7076;5,7082;17/03/2025
4,8812;4,8818;25/04/2022
5,6087;5,6093;07/08/2024
5,6614;5,662;20/05/2025
5,0405;5,0411;18/03/2022
5,0104;5,011;28/04/2022
4,8895;4,8901;10/01/2024
5,6573;5,6579;17/03/2021
4,7019;4,7025;11/04/2022
4,9718;4,9724;18/08/2023
5,7984;5,799;26/11/2024
6,0394;6,04;13/12/2024
4,9393;4,9399;18/12/2023
5,7551;5,7557;07/02/2025
5,3504;5,351;17/07/2020
5,1459;5,1464;05/08/2021
4,8945;4,8951;27/11/2023
5,6522;5,6528;06/08/2024
5,3809;5,3815;12/02/2021
4,8061;4,8067;24/03/2022
4,0666;4,0672;08/01/2020
5,214;5,2146;24/07/2020
5,6401;5,6407;30/09/2020
5,098;5,0986;18/12/2020
4,8945;4,8951;09/06/2022
5,3893;5,3899;05/07/2022
4,9413;4,9419;22/02/2024
5,4323;5,4329;22/09/2020
4,934;4,9346;17/01/2024
5,6556;5,6562;30/08/2024
